Project Current Status,Project Cost
Fully Funded,361.8
Expired,512.85
Fully Funded,435.92
Fully Funded,161.26
Fully Funded,264.19
Fully Funded,175.15
Fully Funded,3020.59
Expired,566.19
Fully Funded,339.2
Fully Funded,566.73
Fully Funded,400.19
Fully Funded,314.33
Fully Funded,580.02
Expired,294.6
Fully Funded,494.13
Expired,897.28
Fully Funded,605.87
Fully Funded,861.18
Fully Funded,452.05
Fully Funded,696.6
Fully Funded,231.6
Fully Funded,662.84
Fully Funded,193.19
Fully Funded,980.35
Fully Funded,322.35
Fully Funded,490.38
Fully Funded,559.99
Fully Funded,327.44
Fully Funded,300.88
Fully Funded,175.06
Fully Funded,584.08
Fully Funded,308.05
Fully Funded,409.99
Fully Funded,244.47
Fully Funded,950.14
Fully Funded,164.41
Fully Funded,246.44
Fully Funded,316.58
Fully Funded,635.18
Fully Funded,259.55
Expired,420.61
Fully Funded,510.44
Fully Funded,310.38
Fully Funded,713.53
Expired,1552.44
Fully Funded,524.05
Fully Funded,345.52
Fully Funded,306.46
Expired,478.33
Fully Funded,361.55
Fully Funded,227.18
Expired,359.61
Fully Funded,528.49
Fully Funded,313.84
Fully Funded,986.91
Fully Funded,527.05
Expired,441.66
Expired,318.06
Fully Funded,396.92
Expired,382.81
Fully Funded,666.58
Fully Funded,640.31
Fully Funded,179.05
Fully Funded,203.06
Fully Funded,693.58
Fully Funded,658.18
Fully Funded,520.12
Fully Funded,505.52
Fully Funded,180.98
Fully Funded,571.14
Expired,985.61
Fully Funded,212.6
Fully Funded,1028.92
Fully Funded,288.28
Expired,551.04
Fully Funded,343.38
Expired,1274.94
Expired,491.99
Fully Funded,167.18
Fully Funded,336.47
Fully Funded,175.85
Expired,494.87
Fully Funded,272.06
Expired,761.24
Fully Funded,1021.2
Expired,1009.44
Fully Funded,154.71
Fully Funded,1033.53
Fully Funded,184.8
Fully Funded,372.39
Fully Funded,512.79
Fully Funded,225.66
Fully Funded,413.81
Expired,285.18
Expired,1023.67
Fully Funded,327.64
Expired,416.34
Fully Funded,896.91
Fully Funded,198.51
Fully Funded,249.73
