State,Post year,Count,id
Alabama,2013,1109,1
Alabama,2014,2049,1
Alabama,2015,2148,1
Alabama,2016,4109,1
Alabama,2017,4039,1
Alabama,2018,2153,1
Alaska,2013,633,2
Alaska,2014,621,2
Alaska,2015,584,2
Alaska,2016,727,2
Alaska,2017,796,2
Alaska,2018,387,2
Arizona,2013,2382,4
Arizona,2014,2719,4
Arizona,2015,5319,4
Arizona,2016,5231,4
Arizona,2017,4859,4
Arizona,2018,2222,4
Arkansas,2013,1419,5
Arkansas,2014,1886,5
Arkansas,2015,2049,5
Arkansas,2016,2207,5
Arkansas,2017,2210,5
Arkansas,2018,1116,5
California,2013,23020,6
California,2014,28556,6
California,2015,28493,6
California,2016,34080,6
California,2017,36411,6
California,2018,16547,6
Colorado,2013,1563,8
Colorado,2014,1780,8
Colorado,2015,2007,8
Colorado,2016,2623,8
Colorado,2017,2907,8
Colorado,2018,1394,8
Connecticut,2013,1566,9
Connecticut,2014,1758,9
Connecticut,2015,2166,9
Connecticut,2016,4128,9
Connecticut,2017,4354,9
Connecticut,2018,2595,9
Delaware,2013,429,10
Delaware,2014,462,10
Delaware,2015,618,10
Delaware,2016,812,10
Delaware,2017,735,10
Delaware,2018,367,10
District of Columbia,2013,793,11
District of Columbia,2014,987,11
District of Columbia,2015,858,11
District of Columbia,2016,1182,11
District of Columbia,2017,1270,11
District of Columbia,2018,476,11
Florida,2013,8572,12
Florida,2014,8962,12
Florida,2015,9492,12
Florida,2016,13089,12
Florida,2017,16552,12
Florida,2018,8303,12
Georgia,2013,4620,13
Georgia,2014,5937,13
Georgia,2015,6842,13
Georgia,2016,8391,13
Georgia,2017,8630,13
Georgia,2018,4343,13
Hawaii,2013,1158,15
Hawaii,2014,1013,15
Hawaii,2015,1356,15
Hawaii,2016,1005,15
Hawaii,2017,1743,15
Hawaii,2018,736,15
Idaho,2013,501,16
Idaho,2014,1028,16
Idaho,2015,1035,16
Idaho,2016,1498,16
Idaho,2017,1658,16
Idaho,2018,728,16
Illinois,2013,5786,17
Illinois,2014,7453,17
Illinois,2015,7631,17
Illinois,2016,9857,17
Illinois,2017,12397,17
Illinois,2018,5285,17
Indiana,2013,2746,18
Indiana,2014,3531,18
Indiana,2015,4278,18
Indiana,2016,6465,18
Indiana,2017,5884,18
Indiana,2018,3024,18
Iowa,2013,631,19
Iowa,2014,853,19
Iowa,2015,910,19
Iowa,2016,1650,19
Iowa,2017,1233,19
Iowa,2018,550,19
Kansas,2013,528,20
Kansas,2014,799,20
Kansas,2015,787,20
Kansas,2016,1403,20
Kansas,2017,1502,20
Kansas,2018,888,20
Kentucky,2013,1079,21
Kentucky,2014,1262,21
Kentucky,2015,1404,21
Kentucky,2016,2715,21
Kentucky,2017,2925,21
Kentucky,2018,1421,21
Louisiana,2013,2507,22
Louisiana,2014,2622,22
Louisiana,2015,2854,22
Louisiana,2016,5418,22
Louisiana,2017,4588,22
Louisiana,2018,1838,22
Maine,2013,841,23
Maine,2014,952,23
Maine,2015,699,23
Maine,2016,1163,23
Maine,2017,1589,23
Maine,2018,895,23
Maryland,2013,1667,24
Maryland,2014,2153,24
Maryland,2015,2541,24
Maryland,2016,3391,24
Maryland,2017,3636,24
Maryland,2018,1462,24
Massachusetts,2013,2249,25
Massachusetts,2014,3311,25
Massachusetts,2015,4060,25
Massachusetts,2016,5533,25
Massachusetts,2017,7655,25
Massachusetts,2018,3594,25
Michigan,2013,2842,26
Michigan,2014,4241,26
Michigan,2015,4211,26
Michigan,2016,7300,26
Michigan,2017,7551,26
Michigan,2018,3769,26
Minnesota,2013,1043,27
Minnesota,2014,1377,27
Minnesota,2015,1618,27
Minnesota,2016,2659,27
Minnesota,2017,3314,27
Minnesota,2018,1560,27
Mississippi,2013,1113,28
Mississippi,2014,1535,28
Mississippi,2015,1725,28
Mississippi,2016,2963,28
Mississippi,2017,2937,28
Mississippi,2018,1425,28
Missouri,2013,2113,29
Missouri,2014,2974,29
